Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 09 Aug 2023 10:56:43 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1956-0038-IND,1956,0038,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Anjar, Bhuj, Gandhidham, Kandla",,,,,,,,6,Richter,23,70,21:02,,1956,7,21,1956,7,21,113,219,,,219,,,,,,,9.2885315312835,,,,
1956-0047-IND,1956,0047,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,,,,,,,,,,,,,,,1956,10,,1956,10,,27,,,,,,,,,,,9.2885315312835,,,,
1956-0007-IND,1956,0007,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Parganas, Midnapore (West Bengal)",,,,,,,,,Kph,,,,,1956,5,29,1956,5,29,,,1000000,,1000000,,,,,,,9.2885315312835,,,,
1956-0012-IND,1956,0012,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Gujarat, Saurashtra, Kutch",,,,,,,,,Km2,,,,,1956,8,1,1956,8,1,,,,2000,2000,,,,,,,9.2885315312835,,,,
1956-0016-IND,1956,0016,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh",,,,,,,,,Km2,,,,,1956,9,9,1956,9,9,100,,,75000,75000,,,,,,,9.2885315312835,,,,
1956-0046-IND,1956,0046,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1956,10,,1956,10,,50,,,,,,,,,,,9.2885315312835,,,,
1957-0010-IND,1957,0010,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Madya Pradesh, Uttar Pradesh",,,,,,,,,Km2,,,,,1957,9,9,1957,9,9,42,,10000,,10000,,,,,,,9.5989040625491,,,,
1957-0038-IND,1957,0038,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1957,9,,1957,9,,92,,,,,,,,,,,9.5989040625491,,,,
1957-0041-IND,1957,0041,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1957,11,,1957,11,,53,,,,,,,,,,,9.5989040625491,,,,
1958-0033-IND,1958,0033,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,,,,,,,,,,,,,,,1958,6,,1958,6,,52,,,,,,,,,,,9.86087781901,,,,
1958-0031-IND,1958,0031,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,,,,,,,,,,°C,,,,,1958,5,,1958,5,,651,,,,,,,,,,,9.86087781901,,,,
1958-0013-IND,1958,0013,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,Vishakhapatam,,,,,,,,,Kph,,,,,1958,10,16,1958,10,16,,,20000,,20000,,,,,,,9.86087781901,,,,
1958-0015-IND,1958,0015,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Madras city,,,,,,,,,Km2,,,,,1958,11,15,1958,11,15,5,,5000,,5000,,,,,,,9.86087781901,,,,
1959-0007-IND,1959,0007,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Kutch,,,,,,,,,Km2,,,,,1959,7,4,1959,7,4,17,,13000,,13000,,,,,,,9.9605423643158,,,,
1959-0038-IND,1959,0038,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1959,7,,1959,7,,104,,,,,,,,,,,9.9605423643158,,,,
1959-0046-IND,1959,0046,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1959,9,,1959,9,,500,,,,,,,,,,,9.9605423643158,,,,
